created_at,particle_id,ore_type,rm_number,density_bin
2025-03-19T02:30:56.659659,RT-XRM43971-0932,HGM,RM43971,1190578
2025-03-19T02:31:05.500387,RT-XRM43971-0933,HGM,RM43971,1190578
2025-03-19T02:31:12.243142,RT-XRM43971-0934,HGM,RM43971,1190578
2025-03-19T02:32:47.051612,RT-XRM43971-0935,HGM,RM43971,1190578
2025-03-19T02:33:19.760102,RT-XRM43971-0936,HGM,RM43971,1190578
2025-03-19T02:33:26.979179,RT-XRM43971-0937,HGM,RM43971,1190578
2025-03-19T02:33:36.256672,RT-XRM43971-0938,HGM,RM43971,1190578
2025-03-19T02:33:42.867937,RT-XRM43971-0939,HGM,RM43971,1190578
2025-03-19T02:33:50.857225,RT-XRM43971-0940,HGM,RM43971,1190578
2025-03-19T02:35:56.581692,RT-XRM43971-0941,HGM,RM43971,1190578
