measurement_id,particle_id,ore_type,rm_number,density_bin,density_bin_g_per_cm3,operator,density_g_per_cm3,density_g_per_cm3_std,machine,cup,created_at,valid,volume_measurement_id,volume_cm3,volume_valid
605,RT-XRM43971-0401,GOH,RM43971,1190577,3.55,Indiana Veal,4.2094,0.006,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 13:20:02.286946+11:00,True,468,0.1763,True
606,RT-XRM43971-0402,GOH,RM43971,1190577,3.55,Indiana Veal,4.1048,0.0016,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 13:30:03.064401+11:00,True,469,0.3405,True
607,RT-XRM43971-0403,GOH,RM43971,1190577,3.55,Indiana Veal,4.088,0.0012,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 13:30:03.958825+11:00,True,470,0.3606,True
608,RT-XRM43971-0404,GOH,RM43971,1190577,3.55,Indiana Veal,4.4538,0.0051,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 13:40:02.204324+11:00,True,471,0.1706,True
609,RT-XRM43971-0405,GOH,RM43971,1190577,3.55,Indiana Veal,4.929,0.0088,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 13:50:02.434883+11:00,True,472,0.1395,True
610,RT-XRM43971-0406,GOH,RM43971,1190579,3.75,Indiana Veal,4.181,0.003,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 13:50:02.519336+11:00,True,473,0.5651,True
611,RT-XRM43971-0407,GOH,RM43971,1190579,3.75,Indiana Veal,4.1505,0.0014,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 14:00:02.735399+11:00,True,474,0.4637,True
612,RT-XRM43971-0408,GOH,RM43971,1190572,3.05,Indiana Veal,4.1196,0.0121,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 14:10:02.813904+11:00,True,475,0.1343,True
613,RT-XRM43971-0409,GOH,RM43971,1190572,3.05,Indiana Veal,4.1775,0.0089,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 14:20:02.969210+11:00,True,476,0.1179,True
614,RT-XRM43971-0410,GOH,RM43971,1190572,3.05,Indiana Veal,4.0084,0.0108,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 14:20:03.953230+11:00,True,477,0.1565,True
615,RT-XRM43971-0411,GOH,RM43971,1190572,3.05,Indiana Veal,4.1876,0.0076,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 14:30:03.076166+11:00,True,478,0.1807,True
616,RT-XRM43971-0412,GOH,RM43971,1190572,3.05,Indiana Veal,4.1903,0.0109,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 14:40:02.382182+11:00,True,479,0.1211,True
617,RT-XRM43971-0413,GOE,RM43971,1190574,3.25,Indiana Veal,4.0759,0.0043,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 14:40:02.472061+11:00,True,480,0.3285,True
618,RT-XRM43971-0414,GOE,RM43971,1190574,3.25,Indiana Veal,4.1754,0.0035,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 14:50:02.784161+11:00,True,481,0.435,True
619,RT-XRM43971-0415,GOE,RM43971,1190574,3.25,Indiana Veal,4.0438,0.009,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 15:00:02.991756+11:00,True,482,0.1884,True
620,RT-XRM43971-0416,GOE,RM43971,1190574,3.25,Indiana Veal,3.8677,0.0097,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-13 11:00:02.336665+11:00,True,483,0.2656,True
621,RT-XRM43971-0417,GOE,RM43971,1190574,3.25,Indiana Veal,4.4307,0.0083,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-13 11:10:02.738830+11:00,True,484,0.1323,True
622,RT-XRM43971-0418,GOE,RM43971,1190574,3.25,Indiana Veal,4.1013,0.0068,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-13 11:20:03.131113+11:00,True,485,0.1611,True
623,RT-XRM43971-0419,GOE,RM43971,1190574,3.25,Indiana Veal,3.9316,0.0025,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-13 11:20:03.196515+11:00,True,486,0.349,True
624,RT-XRM43971-0420,GOE,RM43971,1190574,3.25,Indiana Veal,4.3906,0.0085,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-13 11:40:01.902865+11:00,True,487,0.1714,True
625,RT-XRM43971-0421,GOE,RM43971,1190577,3.55,Indiana Veal,4.0301,0.0048,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-13 11:50:01.717808+11:00,True,488,0.4356,True
626,RT-XRM43971-0422,GOE,RM43971,1190577,3.55,Indiana Veal,4.0029,0.005,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-13 12:00:02.574827+11:00,True,489,0.3197,True
627,RT-XRM43971-0423,GOE,RM43971,1190577,3.55,Indiana Veal,3.974,0.0044,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-13 12:10:02.994449+11:00,True,490,0.4813,True
